Date,GOOGL,FB,NFLX,AMZN,BBBY,COST,DLTR,FOX,Gold,PEP
2015-05-04,552.840027,78.809998,79.271431,423.040009,69.603561,135.790085,77.309998,32.383862,72.970123,88.046349
2015-05-05,543.039978,77.559998,80.792854,421.190002,68.68528,134.625519,76.339996,32.017395,71.925644,87.560005
2015-05-06,535.080017,78.099998,80.077141,419.100006,68.134338,134.87709,77.150002,31.853447,70.900314,87.615074
2015-05-07,542.039978,78.43,80.748573,426.880005,68.240662,134.681427,78.010002,31.188028,70.660767,87.312256
2015-05-08,548.950012,78.510002,82.085716,433.690002,69.052589,135.91124,79.18,31.284464,70.287048,88.596954
2015-05-11,545.780029,78.010002,84.278572,432.850006,67.950684,134.41124,78.980003,31.351969,70.354126,88.413414
2015-05-12,538.72998,77.459999,83.377144,431.019989,67.796043,134.22493,79.209999,31.216955,70.909904,88.275764
2015-05-13,539.48999,78.440002,82.872856,426.869995,67.428741,133.451645,77.849998,31.486982,73.248016,88.468491
2015-05-14,549.200012,81.370003,83.835716,432.279999,67.322403,132.855392,76.970001,31.882381,73.391747,89.927498
2015-05-15,546.48999,80.419998,87.60714,426,70.898758,134.932983,78.370003,32.432072,72.989288,90.129379
2015-05-18,546.669983,80.879997,88.267143,425.23999,71.304718,135.147263,78.419998,32.287418,73.161766,89.973381
2015-05-19,549.280029,80.629997,88.068573,421.709991,70.531448,134.849136,77.550003,32.962482,70.689507,89.881615
2015-05-20,552.51001,80.550003,88.790001,423.859985,69.052589,133.68457,76.260002,33.00106,71.03447,89.643028
2015-05-21,556.809998,80.480003,89.002853,431.630005,69.294235,134.103775,78.68,33.203583,70.861992,89.19339
2015-05-22,554.52002,80.540001,88.83857,427.630005,69.3619,133.861542,77.18,32.894978,70.497864,88.330826
2015-05-26,547.190002,79.330002,87.992859,425.470001,68.308319,133.460968,75.5,32.596024,67.996849,87.899544
2015-05-27,554.25,80.550003,89.85714,431.420013,68.772293,135.482635,76.339996,32.798538,68.581375,88.440948
2015-05-28,554.179993,80.150002,89.507141,426.570007,69.3619,134.401901,76.190002,32.567089,69.156319,89.064934
2015-05-29,545.320007,79.190002,89.151428,429.230011,68.936607,132.846039,74.989998,32.248844,69.213821,88.486824
2015-06-01,549.210022,80.290001,89.002853,430.920013,69.139572,132.659714,76.980003,32.268131,69.232979,88.064713
2015-06-02,553.950012,80.440002,89.129997,430.98999,68.694962,131.737366,77.690002,32.162052,70.085823,88.13813
2015-06-03,555.289978,82.440002,88.808571,436.589996,68.230988,132.41748,79.080002,32.374214,68.45681,88.094215
2015-06-04,551.690002,82.050003,89.348572,430.779999,67.767044,131.03862,78.830002,32.316349,68.035179,87.021927
2015-06-05,549.530029,82.139999,90.459999,426.950012,67.477066,129.296402,77.639999,31.930601,66.971527,86.014328
2015-06-08,543.47998,80.669998,89.604286,423.5,67.109756,128.616302,77.110001,31.824516,67.747711,85.820221
2015-06-09,542.159973,80.669998,92.449997,425.480011,66.549133,128.606934,77.089996,31.554491,67.632721,86.032837
2015-06-10,552.599976,82.160004,95.871429,430.769989,67.4384,129.901978,78.230003,31.679855,69.395889,86.605965
2015-06-11,550.039978,81.830002,95.094284,432.970001,67.457726,129.799484,78.629997,31.650932,69.223396,86.975708
2015-06-12,547.469971,81.529999,94.418571,429.920013,67.62204,129.296402,78.769997,31.429121,68.48555,86.652168
2015-06-15,543,80.709999,93.431427,423.670013,66.984123,127.852303,77.910004,31.110872,68.52388,85.635345
2015-06-16,544.869995,81.059998,95.272858,427.26001,67.351418,128.551102,78.550003,31.02408,67.479393,86.476547
2015-06-17,546.599976,81.790001,94.271431,427.809998,67.728378,129.389587,79.720001,31.332685,68.303482,86.938744
2015-06-18,556.179993,82.910004,94.742859,439.390015,68.723946,130.898865,80.309998,31.621996,69.146744,88.029503
2015-06-19,557.52002,82.510002,93.871429,434.920013,68.375977,130.71254,79.559998,31.554491,67.383575,87.687492
