date,AAPL,AMZN,FB,GOOGL,NFLX
2016-10-25,116.18645077821,835.18,132.29,828.55,126.51
2016-10-26,113.57286972899,822.59,131.04,822.1,126.97
2016-10-27,112.48224004304,818.36,129.69,817.35,126.47
2016-10-28,111.73550260041,776.32,131.29,819.56,126.57
2016-10-31,111.55864373242,789.82,130.99,809.9,124.87
2016-11-01,109.54441773584,785.41,129.5,805.48,123.3
2016-11-02,109.6426726625,765.56,127.17,788.42,122.34
2016-11-03,108.47343903522,767.03,120.0,782.19,122.14
2016-11-04,107.49566698164,755.05,120.75,781.1,122.03
2016-11-07,109.04627518782,784.93,122.15,802.03,124.58
2016-11-08,109.68824673815,787.75,124.22,811.98,124.34
2016-11-09,109.51047000114,771.88,123.18,805.59,122.19
2016-11-10,106.45863601572,742.38,120.8,780.29,115.42
2016-11-11,107.09073108066,739.01,119.02,771.75,114.78
2016-11-14,104.40432705466,719.07,115.08,753.22,113.38
2016-11-15,105.78703500922,743.24,117.2,775.16,113.59
2016-11-16,108.63146280145,746.49,116.34,779.98,115.19
2016-11-17,108.5919568599,756.4,117.79,786.16,115.03
2016-11-18,108.70059819918,760.16,117.02,775.97,115.21
2016-11-21,110.34997125926,780.0,121.77,784.8,117.96
2016-11-22,110.41910665699,785.33,121.47,785.0,118.04
2016-11-23,109.85614698978,780.12,120.84,779.0,117.69
2016-11-25,110.4092301716,780.37,120.38,780.23,117.41
2016-11-28,110.19194749303,766.77,120.41,785.79,116.93
2016-11-29,110.08330615374,762.52,120.87,789.44,117.51
2016-11-30,109.15491652711,750.57,118.42,775.88,117.0
2016-12-01,108.13763853197,743.65,115.1,764.33,117.22
2016-12-02,108.54257443295,740.34,115.4,764.46,120.81
2016-12-05,107.76233208716,759.36,117.43,778.22,119.16
2016-12-06,108.5919568599,764.72,117.31,776.18,124.57
2016-12-07,109.65861728198,770.42,117.95,791.47,125.39
2016-12-08,110.73515418946,767.33,118.91,795.17,123.24
2016-12-09,112.54255101578,768.66,119.68,809.45,122.88
2016-12-12,111.90057946545,760.12,117.77,807.9,122.83
2016-12-13,113.76723520411,774.34,120.31,815.34,123.78
2016-12-14,113.76723520411,768.82,120.21,817.89,123.44
2016-12-15,114.38945378366,761.0,120.57,815.65,125.0
2016-12-16,114.5376010645,757.77,119.87,809.84,124.22
2016-12-19,115.19932558561,766.0,119.24,812.5,125.45
2016-12-20,115.50549663269,771.22,119.09,815.2,125.12
2016-12-21,115.61413797198,770.6,119.04,812.2,126.5
2016-12-22,114.85364859697,766.34,117.4,809.68,125.58
2016-12-23,115.08080776094,760.59,117.27,807.8,125.59
2016-12-27,115.81166767978,771.4,118.01,809.93,128.35
2016-12-28,115.31784341029,772.13,116.92,804.57,125.89
2016-12-29,115.28821395412,765.15,116.35,802.88,125.33
2016-12-30,114.38945378366,749.87,115.05,792.45,123.8
2017-01-03,114.71537780152,753.67,116.86,808.01,127.49
2017-01-04,114.58698349145,757.18,118.69,807.77,129.41
2017-01-05,115.16969612944,780.45,120.67,813.02,131.81
2017-01-06,116.45363923011,795.99,123.41,825.21,131.07
2017-01-09,117.5202996522,796.92,124.9,827.18,130.95
2017-01-10,117.63881747687,795.9,124.35,826.01,129.89
2017-01-11,118.27091254181,799.02,126.09,829.86,130.5
2017-01-12,117.77708827233,813.64,126.62,829.53,129.18
2017-01-13,117.56968207915,817.14,128.34,830.94,133.7
2017-01-17,118.51782467656,809.72,127.87,827.46,132.89
2017-01-18,118.50794819117,807.48,127.92,829.02,133.26
2017-01-19,118.30054199798,809.04,127.55,824.37,138.41
2017-01-20,118.51782467656,808.33,127.04,828.17,138.6
2017-01-23,118.59683655968,817.88,128.93,844.43,137.39
2017-01-24,118.48819522039,822.44,129.37,849.53,140.11
2017-01-25,120.37460392982,836.52,131.48,858.45,139.52
2017-01-26,120.43386284216,839.15,132.78,856.98,138.96
2017-01-27,120.44373932755,835.77,132.18,845.03,142.45
2017-01-30,120.12769179508,830.38,130.98,823.83,141.22
2017-01-31,119.85115020417,823.48,130.32,820.19,140.71
2017-02-01,127.15974939256,832.35,133.23,815.24,140.78
2017-02-02,126.94246671398,839.95,130.84,818.26,139.2
2017-02-03,127.48567341042,810.2,130.98,820.13,140.25
2017-02-06,128.68072814257,807.64,132.06,821.62,140.97
2017-02-07,129.9054123309,812.5,131.84,829.23,144.0
2017-02-08,130.40911308577,819.71,134.2,829.88,144.74
2017-02-09,131.34737919779,821.36,134.14,830.06,144.14
2017-02-10,131.04980924039,827.46,134.19,834.85,144.82
2017-02-13,132.21033207426,836.53,134.05,838.96,143.2
2017-02-14,133.92631882862,836.39,133.85,840.03,140.82
2017-02-15,134.41234975905,842.7,133.44,837.32,142.27
2017-02-16,134.24868628248,844.14,133.84,842.17,142.01
2017-02-17,134.62064872923,845.07,133.53,846.55,142.22
2017-02-21,135.59271059008,856.44,133.72,849.27,142.6
2017-02-22,135.99938953187,855.61,136.12,851.36,143.86
2017-02-23,135.42408761422,852.19,135.36,851.0,142.78
2017-02-24,135.55303459576,845.24,135.44,847.81,143.25
2017-02-27,135.82084755742,848.64,136.41,849.67,143.41
2017-02-28,135.8803615489,845.04,135.54,844.93,142.13
2017-03-01,138.65768115133,853.08,137.42,856.75,142.65
2017-03-02,137.83440426919,848.91,136.76,849.85,139.53
2017-03-03,138.64776215275,849.88,137.17,849.08,139.14
2017-03-06,138.21132621523,846.61,137.42,847.27,141.94
2017-03-07,138.38986818967,846.02,137.3,851.15,141.43
2017-03-08,137.87408026351,850.5,137.72,853.64,140.32
2017-03-09,137.55667230894,853.0,138.24,857.84,140.53
2017-03-10,138.01294624363,852.46,138.79,861.405,140.89
2017-03-13,138.07246023511,854.59,139.6,864.58,143.52
2017-03-14,137.86416126493,852.53,139.32,865.91,143.19
2017-03-15,139.3222540562,852.97,139.72,868.39,145.25
2017-03-16,139.55039102354,853.42,139.99,870.0,144.39
2017-03-17,138.85606112294,852.31,139.84,872.37,145.11
2017-03-20,140.31415391421,856.97,139.94,867.91,145.83
2017-03-21,138.70727614424,843.2,138.51,850.14,142.42
2017-03-22,140.27447791989,848.06,139.59,849.8,142.65
2017-03-23,139.77852799089,847.38,139.53,839.65,141.84
2017-03-24,139.50079603064,845.61,140.34,835.14,142.02
2017-03-27,139.73885199657,846.82,140.32,838.51,144.06
2017-03-28,142.63519958196,856.0,141.76,840.63,145.17
2017-03-29,142.95260753652,874.32,142.65,849.87,146.47
2017-03-30,142.7641465635,876.34,142.41,849.48,148.06
2017-03-31,142.49633360184,886.54,142.05,847.8,147.81
2017-04-03,142.53600959616,891.51,142.28,856.75,146.92
2017-04-04,143.59734244423,906.83,141.73,852.57,145.5
2017-04-05,142.85341755072,909.28,141.85,848.91,143.62
2017-04-06,142.49633360184,898.28,141.17,845.095,143.74
2017-04-07,142.17892564727,894.88,140.78,842.1,143.11
2017-04-10,142.01030267141,907.04,141.04,841.7,143.85
2017-04-11,140.48277689007,902.36,139.92,839.88,144.35
2017-04-12,140.65139986594,896.23,139.58,841.46,143.83
2017-04-13,139.90747497243,884.67,139.39,840.18,142.92
2017-04-17,140.68115686168,901.99,141.42,855.13,147.25
2017-04-18,140.05625995113,903.78,140.96,853.99,143.36
2017-04-19,139.54047202496,899.2,142.27,856.51,139.76
2017-04-20,141.28621577506,902.06,143.8,860.08,141.18
2017-04-21,141.1175927992,898.53,143.68,858.95,142.87
2017-04-24,142.47649560468,907.41,145.47,878.93,143.83
2017-04-25,143.36920547689,907.62,146.49,888.84,152.16
2017-04-26,142.48720812314,909.29,146.56,889.14,150.17
2017-04-27,142.62528058338,918.76,147.7,891.44,153.08
2017-04-28,142.48641460326,924.99,150.25,924.52,152.2
2017-05-01,145.41251918439,948.43,152.46,932.82,155.35
2017-05-02,146.31514805518,946.68,152.78,937.09,156.45
2017-05-03,145.86879311907,941.03,151.8,948.45,155.59
2017-05-04,145.34308619433,937.53,150.85,954.72,157.25
2017-05-05,147.75340284929,934.15,150.24,950.28,156.6
2017-05-08,151.76067827566,949.04,151.06,958.69,156.38
