Date,GOOGL,FB,NFLX,AMZN
2016-03-24,754.840027,113.050003,98.360001,582.950012
2016-03-28,753.280029,113.690002,101.209999,579.869995
2016-03-29,765.890015,116.139999,104.129997,593.859985
2016-03-30,768.340027,114.699997,102.190002,598.690002
2016-03-31,762.900024,114.099998,102.230003,593.640015
2016-04-01,769.669983,116.059998,105.699997,598.5
2016-04-04,765.119995,112.550003,104.349998,593.190002
2016-04-05,758.570007,112.220001,104.940002,586.140015
2016-04-06,768.070007,113.709999,104.830002,602.080017
2016-04-07,760.119995,113.639999,104.449997,591.429993
2016-04-08,759.469971,110.629997,103.809998,594.599976
2016-04-11,757.539978,108.989998,102.68,595.929993
2016-04-12,764.320007,110.610001,106.980003,603.169983
2016-04-13,771.909973,110.510002,109.650002,614.820007
2016-04-14,775.390015,110.839996,110.419998,620.75
2016-04-15,780,109.639999,111.510002,625.890015
2016-04-18,787.679993,110.449997,108.400002,635.349976
2016-04-19,776.25,112.290001,94.339996,627.900024
2016-04-20,774.919983,112.419998,96.769997,632.98999
2016-04-21,780,113.440002,94.980003,631
2016-04-22,737.77002,110.559998,95.900002,620.5
2016-04-25,742.210022,110.099998,93.559998,626.200012
2016-04-26,725.369995,108.760002,92.43,616.880005
2016-04-27,721.460022,108.889999,91.040001,606.570007
2016-04-28,705.059998,116.730003,90.279999,602
2016-04-29,707.880005,117.580002,90.029999,659.590027
2016-05-02,714.409973,118.57,93.110001,683.849976
2016-05-03,708.440002,117.43,91.540001,671.320007
2016-05-04,711.369995,118.059998,90.790001,670.900024
2016-05-05,714.710022,117.809998,89.370003,659.090027
2016-05-06,725.179993,119.489998,90.839996,673.950012
2016-05-09,729.130005,119.239998,90.540001,679.75
2016-05-10,739.380005,120.5,92.889999,703.070007
2016-05-11,730.549988,119.519997,90.019997,713.22998
2016-05-12,728.070007,120.279999,87.739998,717.929993
2016-05-13,724.830017,119.809998,87.879997,709.919983
2016-05-16,730.299988,118.669998,89.120003,710.659973
2016-05-17,720.190002,117.349998,88.629997,695.27002
2016-05-18,721.780029,117.650002,90.5,697.450012
2016-05-19,715.309998,116.809998,89.550003,698.52002
2016-05-20,721.710022,117.349998,92.489998,702.799988
2016-05-23,717.25,115.970001,94.889999,696.75
2016-05-24,733.030029,117.699997,97.889999,704.200012
2016-05-25,738.099976,117.889999,100.199997,708.349976
2016-05-26,736.929993,119.470001,102.809998,714.909973
2016-05-27,747.599976,119.379997,103.300003,712.23999
2016-05-31,748.849976,118.809998,102.57,722.789978
2016-06-01,748.460022,118.779999,101.510002,719.440002
2016-06-02,744.27002,118.93,101.25,728.23999
2016-06-03,735.859985,118.470001,99.589996,725.539978
2016-06-06,730.059998,118.790001,100.739998,726.72998
2016-06-07,731.090027,117.760002,99.889999,723.73999
2016-06-08,742.929993,118.389999,97.860001,726.640015
2016-06-09,742.52002,118.559998,97.089996,727.650024
